
ID_FICHAJE ID_EMPLEADO FECHA    TOTAL_HORAS
---------- ----------- -------- -----------
        21           1 17/06/19           7
        22           1 18/06/19           7
        23           1 19/06/19           7
        24           1 20/06/19           7
        25           1 21/06/19           7
        26           2 17/06/19           8
        27           2 18/06/19           7
        28           2 19/06/19           8
        29           2 20/06/19           7
        30           2 21/06/19           8
        31           3 17/06/19           7

ID_FICHAJE ID_EMPLEADO FECHA    TOTAL_HORAS
---------- ----------- -------- -----------
        32           3 18/06/19           6
        33           3 19/06/19           6
        34           3 20/06/19           6
        35           3 21/06/19           7
        36           4 17/06/19           8
        37           4 18/06/19           7
        38           4 19/06/19           6
        39           4 20/06/19           8
        40           4 21/06/19           7

20 filas seleccionadas. 

